moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,31.0, 1684.00, 7.00, 2, 2
 600,31.0, 1680.00, 1688.00, 125, 103
 900,31.0, 1679.00, 2616.00, 146, 122
 200,31.0, 1683.00, 540.00, 31, 27
 700,31.0, 1680.00, 1842.00, 117, 92
 50,31.0, 1688.00, 20.00, 4, 3
 300,31.0, 1673.00, 389.00, 37, 29
 400,32.0, 1684.00, 817.00, 53, 42
 500,31.0, 1686.00, 1210.00, 81, 62
 800,31.0, 1678.00, 1845.00, 105, 80
 100,31.0, 1683.00, 571.00, 19, 15
 1000,31.0, 1684.00, 3652.00, 170, 141
