moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,14.40,101.80,3.40,3.00,2.00,,10.00,13.80,105.60,1.20,3.00,2.00
600.00,16.80,100.80,151.40,182.00,139.00,,600.00,15.40,107.40,68.40,182.00,139.00
900.00,10.80,102.00,189.00,203.00,161.00,,900.00,13.20,102.00,61.80,203.00,161.00
200.00,14.60,101.60,44.00,50.00,40.00,,200.00,14.60,103.40,15.80,50.00,40.00
700.00,11.80,101.20,165.80,188.00,139.00,,700.00,15.40,104.20,65.00,188.00,139.00
50.00,10.40,101.80,8.60,8.00,5.00,,50.00,11.60,105.40,2.80,8.00,5.00
300.00,10.40,101.20,66.40,69.00,55.00,,300.00,11.80,102.80,21.40,69.00,55.00
400.00,14.00,106.40,84.40,106.00,82.00,,400.00,11.60,107.00,30.60,106.00,82.00
500.00,12.40,101.80,107.60,144.00,104.00,,500.00,13.00,102.20,35.80,144.00,104.00
800.00,15.20,101.00,162.60,166.00,122.00,,800.00,14.40,102.00,49.20,166.00,122.00
100.00,12.80,102.20,23.00,26.00,21.00,,100.00,16.20,103.20,8.60,26.00,21.00
1000.00,16.80,104.80,211.60,271.00,209.00,,1000.00,11.80,103.20,77.20,271.00,209.00
