moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,32.0, 1683.00, 7.00, 2, 2
 600,32.0, 1683.00, 1686.00, 125, 103
 900,31.0, 1682.00, 2645.00, 146, 122
 200,32.0, 1683.00, 544.00, 31, 27
 700,31.0, 1675.00, 1846.00, 117, 92
 50,32.0, 1686.00, 20.00, 4, 3
 300,32.0, 1679.00, 390.00, 37, 29
 400,31.0, 1680.00, 813.00, 53, 42
 500,32.0, 1682.00, 1209.00, 81, 62
 800,31.0, 1685.00, 1846.00, 105, 80
 100,31.0, 1684.00, 575.00, 19, 15
 1000,32.0, 1684.00, 3660.00, 170, 141
