moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,31.20,1687.60,7.00,2.00,2.00,,10.00,31.60,1689.40,5.20,2.00,2.00
600.00,31.20,1678.60,1686.20,125.00,103.00,,600.00,31.00,1680.40,1626.00,125.00,103.00
900.00,31.00,1681.80,2630.00,146.00,122.00,,900.00,31.20,1681.20,2537.00,146.00,122.00
200.00,31.80,1682.60,539.20,31.00,27.00,,200.00,31.40,1683.00,514.80,31.00,27.00
700.00,31.20,1681.80,1839.00,117.00,92.00,,700.00,31.20,1680.20,1764.60,117.00,92.00
50.00,31.40,1682.80,19.80,4.00,3.00,,50.00,31.20,1680.40,15.40,4.00,3.00
300.00,31.20,1680.20,390.60,37.00,29.00,,300.00,31.00,1680.60,352.60,37.00,29.00
400.00,31.20,1680.20,822.40,53.00,42.00,,400.00,31.20,1682.40,766.80,53.00,42.00
500.00,31.20,1682.20,1209.60,81.00,62.00,,500.00,31.20,1680.80,1157.80,81.00,62.00
800.00,31.00,1680.80,1850.60,105.00,80.00,,800.00,31.40,1683.20,1771.40,105.00,80.00
100.00,31.20,1681.60,577.40,19.00,15.00,,100.00,31.20,1682.20,564.20,19.00,15.00
1000.00,31.40,1680.60,3677.00,170.00,141.00,,1000.00,31.40,1680.60,3545.80,170.00,141.00
