n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 85.00, 1.00,97, 1.00, 7794.00, 124.00, 2, 2,
 600, 84.00, 0.00,103, 1.00, 7948.00, 6688.00, 68, 57,
 900, 104.00, 1.00,97, 1.00, 7689.00, 9671.00, 74, 63,
 200, 87.00, 0.00,98, 2.00, 7780.00, 2262.00, 17, 14,
 700, 84.00, 1.00,96, 1.00, 7798.00, 8441.00, 62, 48,
 50, 85.00, 0.00,97, 1.00, 7709.00, 67.00, 1, 1,
 300, 84.00, 0.00,98, 1.00, 7718.00, 2686.00, 23, 21,
 400, 85.00, 1.00,95, 2.00, 7724.00, 3043.00, 30, 24,
 500, 85.00, 0.00,96, 1.00, 7907.00, 6022.00, 50, 45,
 800, 84.00, 1.00,97, 1.00, 7704.00, 6636.00, 45, 42,
 100, 84.00, 0.00,98, 1.00, 7865.00, 647.00, 10, 8,
 1000, 84.00, 1.00,96, 2.00, 7924.00, 11032.00, 100, 88,
