n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 0.00,10, 1.00, 1323.00, 9.00, 2, 1,
 600, 13.00, 1.00,10, 1.00, 1334.00, 68.00, 67, 47,
 900, 17.00, 0.00,12, 1.00, 1362.00, 77.00, 74, 58,
 200, 14.00, 0.00,10, 1.00, 1333.00, 17.00, 17, 13,
 700, 13.00, 1.00,10, 1.00, 1332.00, 61.00, 68, 47,
 50, 13.00, 1.00,10, 1.00, 1325.00, 1.00, 2, 0,
 300, 13.00, 0.00,11, 1.00, 1326.00, 14.00, 26, 21,
 400, 13.00, 1.00,10, 1.00, 1332.00, 28.00, 35, 23,
 500, 13.00, 1.00,10, 1.00, 1326.00, 44.00, 45, 34,
 800, 14.00, 0.00,10, 2.00, 1332.00, 38.00, 49, 37,
 100, 13.00, 1.00,11, 1.00, 1336.00, 14.00, 13, 8,
 1000, 16.00, 1.00,10, 1.00, 1328.00, 70.00, 100, 75,
