moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,19.0, 203.00, 4.00, 4, 3
 600,14.0, 203.00, 113.00, 169, 159
 900,18.0, 206.00, 110.00, 194, 175
 200,19.0, 204.00, 28.00, 42, 39
 700,19.0, 202.00, 102.00, 165, 161
 50,18.0, 205.00, 3.00, 7, 7
 300,22.0, 205.00, 37.00, 58, 53
 400,19.0, 204.00, 45.00, 77, 70
 500,18.0, 203.00, 68.00, 115, 109
 800,29.0, 204.00, 82.00, 150, 135
 100,15.0, 203.00, 20.00, 27, 23
 1000,31.0, 203.00, 151.00, 248, 229
