moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,184.0, 7833.00, 125.00, 2, 2
 600,181.0, 7777.00, 6684.00, 68, 57
 900,181.0, 7708.00, 9740.00, 74, 63
 200,182.0, 7707.00, 2236.00, 17, 14
 700,181.0, 7694.00, 8391.00, 62, 48
 50,185.0, 7858.00, 66.00, 1, 1
 300,183.0, 7736.00, 2711.00, 23, 21
 400,182.0, 7910.00, 3152.00, 30, 24
 500,185.0, 8067.00, 5925.00, 50, 45
 800,183.0, 7702.00, 6539.00, 45, 42
 100,184.0, 7800.00, 621.00, 10, 8
 1000,184.0, 7947.00, 10547.00, 100, 88
