n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 85.00, 0.00,99, 2.00, 7896.00, 124.00, 2, 2,
 600, 84.00, 1.00,97, 1.00, 7725.00, 6742.00, 68, 57,
 900, 84.00, 0.00,98, 1.00, 7780.00, 9623.00, 74, 63,
 200, 84.00, 0.00,97, 2.00, 7735.00, 2252.00, 17, 14,
 700, 85.00, 0.00,97, 2.00, 7742.00, 8679.00, 62, 48,
 50, 83.00, 1.00,97, 1.00, 7795.00, 67.00, 1, 1,
 300, 84.00, 1.00,96, 1.00, 7749.00, 2704.00, 23, 21,
 400, 85.00, 1.00,98, 1.00, 7716.00, 3049.00, 30, 24,
 500, 84.00, 1.00,96, 1.00, 7705.00, 5835.00, 50, 45,
 800, 86.00, 1.00,96, 2.00, 8015.00, 6713.00, 45, 42,
 100, 85.00, 0.00,99, 1.00, 7735.00, 617.00, 10, 8,
 1000, 85.00, 1.00,98, 2.00, 7770.00, 10574.00, 100, 88,
