moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,31.0, 1685.00, 5.00, 2, 2
 600,31.0, 1680.00, 1625.00, 125, 103
 900,32.0, 1681.00, 2536.00, 146, 122
 200,32.0, 1677.00, 515.00, 31, 27
 700,32.0, 1680.00, 1778.00, 117, 92
 50,31.0, 1679.00, 15.00, 4, 3
 300,31.0, 1678.00, 353.00, 37, 29
 400,31.0, 1682.00, 770.00, 53, 42
 500,32.0, 1683.00, 1155.00, 81, 62
 800,31.0, 1697.00, 1779.00, 105, 80
 100,31.0, 1685.00, 558.00, 19, 15
 1000,31.0, 1681.00, 3531.00, 170, 141
