moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,31.0, 1682.00, 5.00, 2, 2
 600,31.0, 1682.00, 1619.00, 125, 103
 900,31.0, 1685.00, 2528.00, 146, 122
 200,31.0, 1680.00, 515.00, 31, 27
 700,31.0, 1681.00, 1759.00, 117, 92
 50,31.0, 1681.00, 15.00, 4, 3
 300,31.0, 1682.00, 355.00, 37, 29
 400,32.0, 1682.00, 763.00, 53, 42
 500,31.0, 1678.00, 1160.00, 81, 62
 800,31.0, 1679.00, 1775.00, 105, 80
 100,31.0, 1681.00, 564.00, 19, 15
 1000,32.0, 1680.00, 3535.00, 170, 141
