moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,31.0, 1690.00, 5.00, 2, 2
 600,31.0, 1677.00, 1629.00, 125, 103
 900,31.0, 1675.00, 2536.00, 146, 122
 200,32.0, 1699.00, 515.00, 31, 27
 700,31.0, 1674.00, 1740.00, 117, 92
 50,32.0, 1679.00, 16.00, 4, 3
 300,31.0, 1683.00, 352.00, 37, 29
 400,31.0, 1692.00, 767.00, 53, 42
 500,31.0, 1680.00, 1154.00, 81, 62
 800,32.0, 1675.00, 1766.00, 105, 80
 100,32.0, 1681.00, 561.00, 19, 15
 1000,31.0, 1676.00, 3556.00, 170, 141
