n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 9.00, 1.00,3, 1.00, 213.00, 4.00, 4, 3,
 600, 11.00, 1.00,3, 2.00, 204.00, 112.00, 169, 159,
 900, 21.00, 1.00,8, 2.00, 204.00, 112.00, 194, 175,
 200, 13.00, 0.00,3, 2.00, 205.00, 28.00, 42, 39,
 700, 15.00, 0.00,4, 2.00, 205.00, 103.00, 165, 161,
 50, 10.00, 0.00,4, 1.00, 203.00, 4.00, 7, 7,
 300, 16.00, 0.00,4, 2.00, 205.00, 37.00, 58, 53,
 400, 21.00, 2.00,7, 3.00, 203.00, 44.00, 77, 70,
 500, 14.00, 0.00,4, 2.00, 207.00, 68.00, 115, 109,
 800, 12.00, 0.00,5, 1.00, 203.00, 82.00, 150, 135,
 100, 22.00, 1.00,5, 1.00, 203.00, 20.00, 27, 23,
 1000, 21.00, 1.00,7, 1.00, 204.00, 153.00, 248, 229,
