moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,184.0, 7715.00, 126.00, 2, 2
 600,184.0, 7713.00, 6694.00, 68, 57
 900,182.0, 7716.00, 9568.00, 74, 63
 200,187.0, 7755.00, 2261.00, 17, 14
 700,182.0, 7739.00, 8463.00, 62, 48
 50,183.0, 7713.00, 67.00, 1, 1
 300,181.0, 7893.00, 2820.00, 23, 21
 400,186.0, 7959.00, 3130.00, 30, 24
 500,185.0, 7730.00, 5821.00, 50, 45
 800,181.0, 7722.00, 6568.00, 45, 42
 100,183.0, 7766.00, 621.00, 10, 8
 1000,183.0, 7831.00, 10842.00, 100, 88
