n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 17.00, 1.00,12, 1.00, 1684.00, 7.00, 2, 2,
 600, 16.00, 1.00,13, 1.00, 1680.00, 1688.00, 125, 103,
 900, 17.00, 1.00,12, 1.00, 1679.00, 2616.00, 146, 122,
 200, 16.00, 1.00,13, 1.00, 1683.00, 540.00, 31, 27,
 700, 16.00, 1.00,13, 1.00, 1680.00, 1842.00, 117, 92,
 50, 16.00, 1.00,13, 1.00, 1688.00, 20.00, 4, 3,
 300, 16.00, 1.00,13, 1.00, 1673.00, 389.00, 37, 29,
 400, 17.00, 1.00,13, 1.00, 1684.00, 817.00, 53, 42,
 500, 16.00, 1.00,13, 1.00, 1686.00, 1210.00, 81, 62,
 800, 17.00, 1.00,12, 1.00, 1678.00, 1845.00, 105, 80,
 100, 17.00, 0.00,13, 1.00, 1683.00, 571.00, 19, 15,
 1000, 17.00, 1.00,12, 1.00, 1684.00, 3652.00, 170, 141,
