moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,31.0, 1684.00, 7.00, 2, 2
 600,31.0, 1679.00, 1689.00, 125, 103
 900,31.0, 1683.00, 2627.00, 146, 122
 200,32.0, 1684.00, 535.00, 31, 27
 700,31.0, 1688.00, 1839.00, 117, 92
 50,31.0, 1684.00, 19.00, 4, 3
 300,31.0, 1685.00, 405.00, 37, 29
 400,31.0, 1681.00, 812.00, 53, 42
 500,31.0, 1679.00, 1208.00, 81, 62
 800,31.0, 1677.00, 1855.00, 105, 80
 100,31.0, 1682.00, 593.00, 19, 15
 1000,31.0, 1682.00, 3668.00, 170, 141
