moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,182.0, 7712.00, 126.00, 2, 2
 600,182.0, 7675.00, 6675.00, 68, 57
 900,183.0, 7706.00, 9808.00, 74, 63
 200,184.0, 7691.00, 2245.00, 17, 14
 700,183.0, 7698.00, 8510.00, 62, 48
 50,183.0, 7724.00, 69.00, 1, 1
 300,184.0, 7698.00, 2708.00, 23, 21
 400,182.0, 7702.00, 3038.00, 30, 24
 500,183.0, 7688.00, 5792.00, 50, 45
 800,184.0, 7713.00, 6637.00, 45, 42
 100,184.0, 7719.00, 620.00, 10, 8
 1000,184.0, 8057.00, 10821.00, 100, 88
