moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,56.0, 4449.00, 0.00, 0, 0
 600,55.0, 4377.00, 65.00, 65, 39
 900,55.0, 4390.00, 79.00, 83, 64
 200,56.0, 4397.00, 16.00, 22, 14
 700,55.0, 4408.00, 58.00, 73, 41
 50,55.0, 4459.00, 1.00, 4, 0
 300,56.0, 4374.00, 26.00, 25, 18
 400,54.0, 4451.00, 39.00, 31, 18
 500,56.0, 4409.00, 19.00, 43, 27
 800,55.0, 4426.00, 36.00, 57, 36
 100,56.0, 4451.00, 7.00, 12, 7
 1000,55.0, 4393.00, 56.00, 93, 59
