n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 1.00,3, 1.00, 203.00, 4.00, 4, 3,
 600, 9.00, 1.00,3, 1.00, 203.00, 113.00, 169, 159,
 900, 12.00, 1.00,4, 1.00, 206.00, 110.00, 194, 175,
 200, 13.00, 1.00,4, 1.00, 204.00, 28.00, 42, 39,
 700, 14.00, 0.00,3, 2.00, 202.00, 102.00, 165, 161,
 50, 11.00, 1.00,4, 2.00, 205.00, 3.00, 7, 7,
 300, 16.00, 1.00,4, 1.00, 205.00, 37.00, 58, 53,
 400, 13.00, 0.00,5, 1.00, 204.00, 45.00, 77, 70,
 500, 12.00, 0.00,4, 2.00, 203.00, 68.00, 115, 109,
 800, 21.00, 2.00,5, 1.00, 204.00, 82.00, 150, 135,
 100, 10.00, 0.00,4, 1.00, 203.00, 20.00, 27, 23,
 1000, 22.00, 1.00,6, 2.00, 203.00, 151.00, 248, 229,
