moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,25.20,1364.60,9.80,2.00,1.00,,10.00,25.20,1330.20,9.80,2.00,1.00
600.00,24.80,1331.80,116.20,67.00,47.00,,600.00,26.80,1329.20,69.20,67.00,47.00
900.00,25.60,1343.60,141.20,74.00,58.00,,900.00,26.00,1337.20,76.00,74.00,58.00
200.00,25.20,1334.40,31.60,17.00,13.00,,200.00,25.20,1331.80,16.40,17.00,13.00
700.00,25.20,1331.80,117.60,69.00,47.00,,700.00,25.80,1329.80,62.00,68.00,47.00
50.00,25.00,1338.60,3.00,2.00,0.00,,50.00,25.20,1333.40,1.00,2.00,0.00
300.00,24.40,1330.40,34.20,27.00,21.00,,300.00,27.00,1323.80,13.80,26.00,21.00
400.00,26.60,1333.80,57.80,35.00,23.00,,400.00,26.20,1331.80,28.00,35.00,23.00
500.00,25.20,1334.00,82.20,46.00,34.00,,500.00,25.00,1332.40,45.00,45.00,34.00
800.00,25.40,1362.80,91.00,50.00,37.00,,800.00,25.40,1328.60,37.60,49.00,37.00
100.00,25.20,1333.60,18.20,13.00,8.00,,100.00,25.00,1349.40,13.20,13.00,8.00
1000.00,25.00,1340.20,148.00,100.00,75.00,,1000.00,25.40,1329.40,70.00,100.00,75.00
