n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 84.00, 1.00,96, 2.00, 7802.00, 129.00, 2, 2,
 600, 84.00, 1.00,96, 1.00, 7710.00, 6734.00, 68, 57,
 900, 84.00, 1.00,97, 1.00, 7726.00, 9548.00, 74, 63,
 200, 84.00, 1.00,97, 1.00, 8014.00, 2326.00, 17, 14,
 700, 84.00, 0.00,98, 1.00, 7714.00, 8480.00, 62, 48,
 50, 85.00, 1.00,96, 2.00, 7696.00, 68.00, 1, 1,
 300, 86.00, 1.00,100, 1.00, 7938.00, 2759.00, 23, 21,
 400, 85.00, 0.00,97, 1.00, 7705.00, 3061.00, 30, 24,
 500, 84.00, 1.00,96, 2.00, 7722.00, 5812.00, 50, 45,
 800, 84.00, 0.00,97, 2.00, 7724.00, 6648.00, 45, 42,
 100, 85.00, 1.00,97, 1.00, 7754.00, 625.00, 10, 8,
 1000, 84.00, 1.00,95, 2.00, 7705.00, 10468.00, 100, 88,
