n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,16, 2.00, 2198.00, 0.00, 0, 0,
 600, 19.00, 0.00,16, 2.00, 2183.00, 37.00, 32, 13,
 900, 18.00, 0.00,16, 2.00, 2189.00, 47.00, 41, 20,
 200, 18.00, 0.00,17, 1.00, 2186.00, 7.00, 11, 6,
 700, 18.00, 1.00,16, 1.00, 2202.00, 21.00, 23, 15,
 50, 18.00, 0.00,17, 1.00, 2185.00, 0.00, 0, 0,
 300, 18.00, 0.00,17, 1.00, 2187.00, 9.00, 12, 6,
 400, 18.00, 0.00,16, 1.00, 2183.00, 13.00, 17, 5,
 500, 18.00, 0.00,16, 1.00, 2203.00, 9.00, 20, 10,
 800, 18.00, 0.00,16, 2.00, 2189.00, 13.00, 18, 10,
 100, 18.00, 0.00,16, 1.00, 2180.00, 7.00, 9, 3,
 1000, 18.00, 0.00,16, 1.00, 2183.00, 34.00, 43, 20,
