moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,181.0, 7679.00, 124.00, 2, 2
 600,182.0, 7681.00, 6707.00, 68, 57
 900,181.0, 7672.00, 9569.00, 74, 63
 200,181.0, 7718.00, 2308.00, 17, 14
 700,182.0, 7687.00, 8376.00, 62, 48
 50,182.0, 7688.00, 64.00, 1, 1
 300,183.0, 7693.00, 2688.00, 23, 21
 400,183.0, 7708.00, 3007.00, 30, 24
 500,182.0, 7686.00, 5748.00, 50, 45
 800,184.0, 7675.00, 6543.00, 45, 42
 100,183.0, 7686.00, 608.00, 10, 8
 1000,183.0, 7668.00, 10433.00, 100, 88
