n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,27, 1.00, 4464.00, 3.00, 0, 0,
 600, 27.00, 1.00,26, 2.00, 4479.00, 117.00, 65, 39,
 900, 27.00, 0.00,27, 1.00, 4370.00, 131.00, 83, 64,
 200, 28.00, 1.00,27, 1.00, 4489.00, 31.00, 22, 14,
 700, 27.00, 1.00,26, 1.00, 4458.00, 105.00, 73, 41,
 50, 26.00, 1.00,26, 2.00, 4442.00, 3.00, 4, 0,
 300, 27.00, 1.00,26, 2.00, 4386.00, 45.00, 25, 18,
 400, 28.00, 1.00,26, 2.00, 4414.00, 68.00, 31, 18,
 500, 27.00, 0.00,27, 2.00, 4492.00, 59.00, 43, 27,
 800, 29.00, 1.00,26, 2.00, 4469.00, 86.00, 57, 36,
 100, 27.00, 1.00,27, 1.00, 4452.00, 14.00, 12, 7,
 1000, 27.00, 1.00,26, 2.00, 4364.00, 132.00, 93, 59,
