moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,32.0, 1685.00, 5.00, 2, 2
 600,31.0, 1679.00, 1623.00, 125, 103
 900,31.0, 1683.00, 2538.00, 146, 122
 200,31.0, 1682.00, 514.00, 31, 27
 700,31.0, 1680.00, 1754.00, 117, 92
 50,31.0, 1683.00, 16.00, 4, 3
 300,31.0, 1680.00, 352.00, 37, 29
 400,31.0, 1677.00, 770.00, 53, 42
 500,31.0, 1682.00, 1167.00, 81, 62
 800,31.0, 1682.00, 1767.00, 105, 80
 100,31.0, 1682.00, 570.00, 19, 15
 1000,31.0, 1683.00, 3547.00, 170, 141
