moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,181.0, 7689.00, 122.00, 2, 2
 600,183.0, 7649.00, 6685.00, 68, 57
 900,183.0, 7682.00, 9582.00, 74, 63
 200,182.0, 7686.00, 2239.00, 17, 14
 700,181.0, 7675.00, 8343.00, 62, 48
 50,182.0, 7667.00, 65.00, 1, 1
 300,181.0, 7683.00, 2717.00, 23, 21
 400,183.0, 7671.00, 3020.00, 30, 24
 500,182.0, 7674.00, 5739.00, 50, 45
 800,182.0, 7664.00, 6584.00, 45, 42
 100,184.0, 7691.00, 616.00, 10, 8
 1000,182.0, 7673.00, 10388.00, 100, 88
