moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,36.00,2191.20,2.00,0.00,0.00,,10.00,36.00,2203.20,0.00,0.00,0.00
600.00,35.40,2185.20,90.00,32.00,13.00,,600.00,36.00,2194.60,37.20,32.00,13.00
900.00,35.80,2191.60,106.60,41.00,20.00,,900.00,36.00,2198.00,46.80,41.00,20.00
200.00,36.40,2187.60,21.00,11.00,6.00,,200.00,36.00,2196.80,6.80,11.00,6.00
700.00,35.80,2187.80,79.00,24.00,15.00,,700.00,35.80,2200.60,22.00,23.00,15.00
50.00,35.40,2190.40,2.80,0.00,0.00,,50.00,36.20,2192.40,0.00,0.00,0.00
300.00,35.80,2193.60,31.40,12.00,6.00,,300.00,36.00,2206.80,9.00,12.00,6.00
400.00,35.80,2188.00,42.20,17.00,5.00,,400.00,36.00,2194.40,13.00,17.00,5.00
500.00,35.60,2187.20,48.20,20.00,10.00,,500.00,35.80,2202.20,8.80,20.00,10.00
800.00,35.60,2188.00,55.40,18.00,10.00,,800.00,36.20,2202.00,12.80,18.00,10.00
100.00,35.40,2188.00,15.40,9.00,3.00,,100.00,36.00,2194.20,7.00,9.00,3.00
1000.00,35.60,2188.40,100.80,43.00,20.00,,1000.00,36.40,2228.00,34.00,43.00,20.00
