n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 0.00,2, 0.00, 154.00, 0.00, 0, 0,
 600, 3.00, 0.00,2, 0.00, 154.00, 13.00, 7, 7,
 900, 3.00, 0.00,2, 0.00, 152.00, 21.00, 12, 11,
 200, 7.00, 0.00,5, 0.00, 161.00, 6.00, 2, 2,
 700, 6.00, 0.00,5, 1.00, 151.00, 14.00, 9, 9,
 50, 7.00, 0.00,5, 1.00, 156.00, 1.00, 0, 0,
 300, 6.00, 0.00,5, 1.00, 151.00, 6.00, 3, 3,
 400, 3.00, 0.00,2, 1.00, 153.00, 7.00, 3, 3,
 500, 6.00, 0.00,3, 0.00, 156.00, 12.00, 5, 5,
 800, 3.00, 0.00,2, 0.00, 173.00, 15.00, 9, 9,
 100, 3.00, 0.00,3, 0.00, 153.00, 2.00, 0, 0,
 1000, 4.00, 0.00,2, 0.00, 156.00, 21.00, 12, 11,
