n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 0.00,2, 1.00, 152.00, 0.00, 0, 0,
 600, 3.00, 0.00,2, 0.00, 151.00, 8.00, 7, 7,
 900, 3.00, 0.00,2, 0.00, 153.00, 14.00, 12, 11,
 200, 7.00, 0.00,5, 0.00, 153.00, 3.00, 2, 2,
 700, 3.00, 0.00,2, 1.00, 152.00, 9.00, 9, 9,
 50, 3.00, 0.00,2, 0.00, 157.00, 0.00, 0, 0,
 300, 4.00, 0.00,3, 1.00, 160.00, 4.00, 3, 3,
 400, 3.00, 0.00,2, 0.00, 154.00, 4.00, 3, 3,
 500, 2.00, 0.00,2, 1.00, 152.00, 7.00, 5, 5,
 800, 3.00, 0.00,2, 0.00, 190.00, 8.00, 9, 9,
 100, 3.00, 0.00,2, 0.00, 151.00, 0.00, 0, 0,
 1000, 3.00, 1.00,2, 0.00, 152.00, 14.00, 12, 11,
