n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 2.00, 0.00,0, 0.00, 18.00, 0.00, 0, 0,
 600, 1.00, 0.00,1, 0.00, 11.00, 10.00, 16, 13,
 900, 3.00, 1.00,0, 1.00, 25.00, 16.00, 25, 21,
 200, 1.00, 0.00,0, 1.00, 12.00, 5.00, 7, 6,
 700, 2.00, 0.00,0, 0.00, 12.00, 11.00, 19, 15,
 50, 3.00, 0.00,1, 1.00, 27.00, 3.00, 1, 1,
 300, 1.00, 0.00,1, 0.00, 11.00, 5.00, 9, 8,
 400, 1.00, 1.00,0, 0.00, 11.00, 6.00, 12, 10,
 500, 1.00, 1.00,0, 0.00, 11.00, 8.00, 14, 12,
 800, 2.00, 1.00,0, 1.00, 27.00, 17.00, 21, 17,
 100, 3.00, 0.00,1, 1.00, 14.00, 2.00, 3, 2,
 1000, 3.00, 1.00,0, 1.00, 25.00, 20.00, 26, 21,
