n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,6, 0.00, 501.00, 0.00, 0, 0,
 600, 6.00, 0.00,6, 0.00, 497.00, 2.00, 7, 5,
 900, 5.00, 0.00,6, 0.00, 497.00, 4.00, 13, 8,
 200, 6.00, 0.00,5, 0.00, 493.00, 0.00, 2, 2,
 700, 7.00, 0.00,5, 1.00, 509.00, 3.00, 10, 6,
 50, 6.00, 0.00,6, 0.00, 492.00, 0.00, 0, 0,
 300, 7.00, 0.00,6, 1.00, 495.00, 1.00, 3, 2,
 400, 6.00, 0.00,6, 0.00, 494.00, 0.00, 4, 2,
 500, 6.00, 0.00,5, 0.00, 527.00, 2.00, 6, 4,
 800, 6.00, 0.00,5, 1.00, 495.00, 3.00, 11, 7,
 100, 6.00, 0.00,5, 1.00, 495.00, 0.00, 0, 0,
 1000, 5.00, 0.00,6, 0.00, 495.00, 4.00, 13, 8,
