moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,4.20,28.80,0.00,0.00,0.00,,10.00,3.80,24.40,0.00,0.00,0.00
600.00,3.20,32.00,21.40,14.00,13.00,,600.00,5.00,34.20,17.40,14.00,13.00
900.00,5.00,27.40,32.40,24.00,22.00,,900.00,4.20,23.40,25.20,23.00,22.00
200.00,3.20,23.60,7.60,7.00,6.00,,200.00,4.80,26.40,5.80,7.00,6.00
700.00,5.20,26.40,24.60,18.00,16.00,,700.00,3.60,23.80,18.40,17.00,16.00
50.00,5.00,26.00,1.80,2.00,1.00,,50.00,3.20,26.40,1.60,2.00,1.00
300.00,5.60,24.80,7.20,8.00,7.00,,300.00,4.40,25.00,7.00,8.00,7.00
400.00,5.00,29.40,14.00,9.00,8.00,,400.00,4.40,25.60,9.00,9.00,8.00
500.00,6.80,29.00,18.20,11.00,10.00,,500.00,4.00,27.60,14.00,11.00,10.00
800.00,5.40,41.60,25.00,20.00,18.00,,800.00,5.60,26.20,18.20,19.00,18.00
100.00,4.40,30.20,4.00,4.00,3.00,,100.00,6.80,30.20,2.60,4.00,3.00
1000.00,4.80,34.80,37.60,25.00,22.00,,1000.00,5.60,25.80,26.40,24.00,22.00
