moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,11.0, 513.00, 0.00, 0, 0
 600,12.0, 492.00, 7.00, 7, 5
 900,11.0, 499.00, 10.00, 13, 8
 200,12.0, 497.00, 3.00, 2, 2
 700,12.0, 502.00, 8.00, 10, 6
 50,12.0, 496.00, 0.00, 0, 0
 300,12.0, 501.00, 3.00, 3, 2
 400,12.0, 497.00, 4.00, 4, 2
 500,12.0, 494.00, 6.00, 6, 4
 800,11.0, 495.00, 8.00, 11, 7
 100,12.0, 515.00, 1.00, 0, 0
 1000,12.0, 514.00, 11.00, 13, 8
