n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 5.00, 1.00,1, 1.00, 46.00, 0.00, 0, 0,
 600, 2.00, 0.00,1, 0.00, 23.00, 21.00, 14, 13,
 900, 5.00, 1.00,1, 1.00, 24.00, 34.00, 24, 22,
 200, 2.00, 0.00,1, 0.00, 26.00, 10.00, 7, 6,
 700, 4.00, 0.00,1, 1.00, 27.00, 23.00, 18, 16,
 50, 2.00, 0.00,1, 1.00, 29.00, 2.00, 2, 1,
 300, 2.00, 0.00,1, 0.00, 23.00, 7.00, 8, 7,
 400, 4.00, 1.00,1, 1.00, 25.00, 24.00, 9, 8,
 500, 3.00, 0.00,1, 0.00, 25.00, 18.00, 11, 10,
 800, 4.00, 1.00,1, 1.00, 35.00, 24.00, 20, 18,
 100, 3.00, 0.00,1, 1.00, 28.00, 3.00, 4, 3,
 1000, 2.00, 0.00,1, 0.00, 23.00, 34.00, 25, 22,
