n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 0.00,1, 0.00, 27.00, 0.00, 0, 0,
 600, 2.00, 1.00,0, 1.00, 48.00, 22.00, 14, 13,
 900, 5.00, 0.00,2, 1.00, 28.00, 32.00, 24, 22,
 200, 2.00, 1.00,0, 1.00, 23.00, 7.00, 7, 6,
 700, 5.00, 0.00,2, 1.00, 32.00, 24.00, 18, 16,
 50, 5.00, 0.00,2, 1.00, 30.00, 2.00, 2, 1,
 300, 5.00, 0.00,1, 1.00, 23.00, 8.00, 8, 7,
 400, 3.00, 0.00,0, 1.00, 23.00, 12.00, 9, 8,
 500, 5.00, 0.00,2, 0.00, 29.00, 18.00, 11, 10,
 800, 4.00, 0.00,1, 1.00, 28.00, 24.00, 20, 18,
 100, 5.00, 0.00,2, 1.00, 54.00, 7.00, 4, 3,
 1000, 3.00, 0.00,1, 0.00, 26.00, 35.00, 25, 22,
