n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 1.00, 1.00,0, 0.00, 11.00, 0.00, 0, 0,
 600, 1.00, 0.00,1, 0.00, 11.00, 9.00, 16, 13,
 900, 3.00, 0.00,1, 1.00, 15.00, 16.00, 25, 21,
 200, 1.00, 1.00,0, 0.00, 11.00, 4.00, 7, 6,
 700, 3.00, 0.00,1, 0.00, 23.00, 14.00, 19, 15,
 50, 3.00, 0.00,1, 1.00, 12.00, 2.00, 1, 1,
 300, 1.00, 1.00,0, 0.00, 12.00, 4.00, 9, 8,
 400, 1.00, 0.00,0, 1.00, 26.00, 6.00, 12, 10,
 500, 2.00, 1.00,0, 1.00, 16.00, 7.00, 14, 12,
 800, 1.00, 0.00,0, 1.00, 13.00, 13.00, 21, 17,
 100, 1.00, 1.00,0, 0.00, 11.00, 2.00, 3, 2,
 1000, 1.00, 0.00,0, 0.00, 12.00, 19.00, 26, 21,
