n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 0.00,3, 0.00, 253.00, 0.00, 0, 0,
 600, 4.00, 0.00,4, 0.00, 253.00, 6.00, 5, 3,
 900, 4.00, 0.00,4, 0.00, 260.00, 10.00, 7, 5,
 200, 5.00, 0.00,4, 0.00, 265.00, 2.00, 2, 0,
 700, 4.00, 0.00,4, 0.00, 251.00, 8.00, 5, 3,
 50, 4.00, 0.00,4, 0.00, 255.00, 0.00, 0, 0,
 300, 4.00, 0.00,3, 0.00, 250.00, 3.00, 3, 1,
 400, 3.00, 1.00,3, 0.00, 255.00, 3.00, 3, 1,
 500, 4.00, 0.00,4, 0.00, 252.00, 6.00, 4, 2,
 800, 6.00, 0.00,4, 0.00, 252.00, 11.00, 5, 3,
 100, 3.00, 0.00,4, 0.00, 257.00, 2.00, 0, 0,
 1000, 4.00, 0.00,3, 0.00, 266.00, 12.00, 7, 5,
