moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,7.80,256.60,0.20,0.00,0.00,,10.00,8.20,251.60,0.00,0.00,0.00
600.00,7.80,251.60,6.60,5.00,3.00,,600.00,9.80,252.00,2.20,5.00,3.00
900.00,8.00,253.80,11.00,7.00,5.00,,900.00,9.00,255.20,4.20,7.00,5.00
200.00,8.00,255.80,2.20,2.00,0.00,,200.00,8.40,250.00,0.20,2.00,0.00
700.00,7.40,253.80,8.40,5.00,3.00,,700.00,11.00,252.20,2.40,5.00,3.00
50.00,7.40,255.00,0.00,0.00,0.00,,50.00,8.20,255.60,0.00,0.00,0.00
300.00,10.60,251.40,3.20,3.00,1.00,,300.00,7.60,250.80,1.60,3.00,1.00
400.00,7.80,255.60,3.80,3.00,1.00,,400.00,9.00,256.00,1.60,3.00,1.00
500.00,7.40,255.80,5.20,4.00,2.00,,500.00,10.00,251.60,1.80,4.00,2.00
800.00,8.40,253.20,8.80,5.00,3.00,,800.00,8.00,252.20,2.20,5.00,3.00
100.00,7.80,253.80,1.20,0.00,0.00,,100.00,8.20,252.20,0.00,0.00,0.00
1000.00,9.20,261.40,12.20,7.00,5.00,,1000.00,10.40,251.00,4.60,7.00,5.00
