n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,5, 1.00, 501.00, 0.00, 0, 0,
 600, 10.00, 0.00,5, 0.00, 497.00, 7.00, 7, 5,
 900, 5.00, 0.00,6, 0.00, 494.00, 14.00, 13, 8,
 200, 6.00, 0.00,5, 1.00, 495.00, 3.00, 2, 2,
 700, 6.00, 0.00,5, 1.00, 492.00, 8.00, 10, 6,
 50, 5.00, 0.00,6, 0.00, 492.00, 0.00, 0, 0,
 300, 5.00, 1.00,5, 0.00, 496.00, 3.00, 3, 2,
 400, 6.00, 0.00,5, 1.00, 491.00, 4.00, 4, 2,
 500, 6.00, 0.00,5, 0.00, 490.00, 6.00, 6, 4,
 800, 5.00, 0.00,6, 0.00, 495.00, 8.00, 11, 7,
 100, 6.00, 0.00,5, 1.00, 498.00, 2.00, 0, 0,
 1000, 5.00, 0.00,6, 0.00, 494.00, 11.00, 13, 8,
