k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 172.00, 3.00,161, 11.00, 9431.00, 77, 3.00, 6.00, 2.00, 3.00, 77, 106, 37, 37, 21,
10, 174.00, 1.00,75, 3.00, 9567.00, 77, 1.00, 4.00, 1.00, 3.00, 77, 106, 43, 43, 21,
26, 172.00, 2.00,175, 13.00, 9404.00, 77, 3.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
12, 176.00, 1.00,88, 5.00, 9525.00, 77, 2.00, 3.00, 1.00, 2.00, 77, 106, 41, 41, 21,
20, 175.00, 2.00,139, 8.00, 9739.00, 77, 2.00, 5.00, 2.00, 3.00, 77, 106, 37, 37, 21,
14, 173.00, 2.00,100, 5.00, 9581.00, 77, 2.00, 4.00, 1.00, 3.00, 77, 106, 40, 40, 21,
22, 177.00, 2.00,150, 10.00, 9441.00, 77, 3.00, 5.00, 2.00, 4.00, 77, 106, 37, 37, 21,
16, 176.00, 2.00,113, 7.00, 9678.00, 77, 2.00, 5.00, 2.00, 3.00, 77, 106, 41, 41, 21,
46, 194.00, 4.00,305, 27.00, 9559.00, 77, 7.00, 10.00, 5.00, 4.00, 77, 106, 36, 36, 21,
18, 175.00, 2.00,125, 7.00, 9735.00, 77, 3.00, 4.00, 1.00, 3.00, 77, 106, 39, 39, 21,
44, 177.00, 3.00,293, 24.00, 9673.00, 77, 7.00, 9.00, 6.00, 4.00, 77, 106, 37, 37, 21,
30, 177.00, 3.00,214, 15.00, 9488.00, 77, 4.00, 6.00, 4.00, 3.00, 77, 106, 36, 36, 21,
28, 176.00, 2.00,188, 14.00, 9464.00, 77, 4.00, 6.00, 2.00, 4.00, 77, 106, 36, 36, 21,
36, 173.00, 3.00,230, 18.00, 9694.00, 77, 5.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
40, 176.00, 3.00,261, 21.00, 9617.00, 77, 6.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
34, 174.00, 3.00,224, 18.00, 9348.00, 77, 5.00, 7.00, 4.00, 3.00, 77, 106, 37, 37, 21,
38, 180.00, 4.00,253, 20.00, 9677.00, 77, 6.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
6, 176.00, 0.00,49, 2.00, 9573.00, 77, 0.00, 4.00, 0.00, 3.00, 77, 106, 76, 76, 21,
8, 188.00, 1.00,62, 3.00, 9603.00, 77, 1.00, 4.00, 0.00, 3.00, 77, 106, 50, 50, 21,
32, 184.00, 2.00,225, 16.00, 9635.00, 77, 5.00, 7.00, 3.00, 4.00, 77, 106, 37, 37, 21,
42, 176.00, 3.00,279, 23.00, 9671.00, 77, 6.00, 8.00, 4.00, 4.00, 77, 106, 38, 37, 21,
