k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,347.0,9431.0,9.0,5.0, 37, 21
10,253.0,9567.0,5.0,4.0, 43, 21
26,362.0,9404.0,9.0,6.0, 37, 21
12,270.0,9525.0,5.0,3.0, 41, 21
20,324.0,9739.0,7.0,5.0, 37, 21
14,280.0,9581.0,6.0,4.0, 40, 21
22,339.0,9441.0,8.0,6.0, 37, 21
16,298.0,9678.0,7.0,5.0, 41, 21
46,530.0,9559.0,17.0,9.0, 36, 21
18,309.0,9735.0,7.0,4.0, 39, 21
44,497.0,9673.0,16.0,10.0, 37, 21
30,409.0,9488.0,10.0,7.0, 36, 21
28,380.0,9464.0,10.0,6.0, 36, 21
36,424.0,9694.0,13.0,8.0, 37, 21
40,461.0,9617.0,14.0,8.0, 37, 21
34,419.0,9348.0,12.0,7.0, 37, 21
38,457.0,9677.0,14.0,8.0, 37, 21
6,227.0,9573.0,4.0,3.0, 76, 21
8,254.0,9603.0,5.0,3.0, 50, 21
32,427.0,9635.0,12.0,7.0, 37, 21
42,481.0,9671.0,14.0,8.0, 38, 21
