k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,83.0,521.0,11.0,13.0, 200, 161
10,77.0,525.0,6.0,7.0, 232, 161
26,89.0,522.0,11.0,14.0, 199, 161
12,89.0,522.0,7.0,8.0, 229, 161
20,90.0,522.0,9.0,12.0, 208, 161
14,80.0,523.0,7.0,8.0, 220, 161
22,88.0,523.0,9.0,13.0, 205, 161
16,94.0,520.0,8.0,9.0, 217, 161
46,120.0,527.0,18.0,23.0, 195, 161
18,91.0,525.0,8.0,10.0, 217, 161
44,111.0,522.0,18.0,23.0, 196, 161
30,93.0,521.0,13.0,16.0, 199, 161
28,105.0,521.0,11.0,16.0, 200, 161
36,100.0,542.0,15.0,18.0, 196, 161
40,114.0,522.0,16.0,20.0, 196, 161
34,124.0,526.0,14.0,18.0, 196, 161
38,102.0,524.0,16.0,20.0, 196, 161
6,69.0,526.0,5.0,5.0, 288, 161
8,76.0,520.0,5.0,6.0, 247, 161
32,94.0,520.0,13.0,17.0, 199, 161
42,105.0,520.0,17.0,21.0, 196, 161
