k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 162.00, 5.00,159, 7.00, 12180.00, 48, 3.00, 1.00, 1.00, 1.00, 48, 43, 28, 28, 16,
10, 160.00, 2.00,73, 2.00, 12123.00, 48, 0.00, 2.00, 0.00, 1.00, 48, 43, 32, 32, 16,
26, 161.00, 5.00,173, 8.00, 12129.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 26, 26, 16,
12, 164.00, 3.00,85, 3.00, 12171.00, 48, 1.00, 1.00, 1.00, 1.00, 48, 43, 29, 29, 16,
20, 177.00, 3.00,135, 6.00, 12261.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
14, 161.00, 2.00,97, 3.00, 12158.00, 48, 2.00, 1.00, 1.00, 1.00, 48, 43, 31, 31, 16,
22, 163.00, 4.00,147, 7.00, 12192.00, 48, 2.00, 1.00, 1.00, 1.00, 48, 43, 28, 28, 16,
16, 163.00, 3.00,108, 5.00, 12177.00, 48, 1.00, 2.00, 1.00, 0.00, 48, 43, 29, 29, 16,
46, 163.00, 5.00,293, 16.00, 12166.00, 48, 5.00, 2.00, 3.00, 2.00, 48, 43, 24, 24, 16,
18, 161.00, 4.00,121, 4.00, 12259.00, 48, 1.00, 2.00, 1.00, 1.00, 48, 43, 24, 24, 16,
44, 163.00, 5.00,302, 14.00, 12173.00, 48, 5.00, 3.00, 3.00, 1.00, 48, 43, 24, 24, 16,
30, 163.00, 4.00,195, 9.00, 12176.00, 48, 3.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
28, 162.00, 4.00,183, 9.00, 12151.00, 48, 3.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
36, 161.00, 5.00,226, 11.00, 12171.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 25, 25, 16,
40, 164.00, 5.00,249, 13.00, 12126.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
34, 161.00, 4.00,222, 11.00, 12166.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 25, 25, 16,
38, 162.00, 5.00,245, 12.00, 12174.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
6, 162.00, 0.00,46, 2.00, 12111.00, 48, 0.00, 2.00, 0.00, 1.00, 48, 43, 41, 41, 16,
8, 161.00, 2.00,61, 1.00, 12185.00, 48, 1.00, 1.00, 0.00, 2.00, 48, 43, 33, 33, 16,
32, 161.00, 4.00,209, 10.00, 12189.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 24, 24, 16,
42, 162.00, 5.00,268, 14.00, 12185.00, 48, 4.00, 3.00, 2.00, 2.00, 48, 43, 23, 23, 16,
