k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 161.00, 5.00,158, 7.00, 12102.00, 48, 2.00, 2.00, 1.00, 2.00, 48, 43, 28, 28, 16,
10, 160.00, 2.00,73, 2.00, 12158.00, 48, 1.00, 1.00, 1.00, 0.00, 48, 43, 32, 32, 16,
26, 161.00, 5.00,170, 8.00, 12149.00, 48, 3.00, 1.00, 1.00, 1.00, 48, 43, 26, 26, 16,
12, 161.00, 2.00,84, 3.00, 12096.00, 48, 1.00, 1.00, 1.00, 0.00, 48, 43, 29, 29, 16,
20, 162.00, 3.00,134, 6.00, 12137.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
14, 161.00, 2.00,96, 3.00, 12115.00, 48, 1.00, 1.00, 0.00, 1.00, 48, 43, 31, 31, 16,
22, 161.00, 4.00,145, 7.00, 12171.00, 48, 2.00, 1.00, 1.00, 1.00, 48, 43, 28, 28, 16,
16, 161.00, 2.00,108, 4.00, 12144.00, 48, 1.00, 1.00, 0.00, 2.00, 48, 43, 29, 29, 16,
46, 163.00, 4.00,295, 16.00, 12145.00, 48, 5.00, 2.00, 2.00, 2.00, 48, 43, 24, 24, 16,
18, 163.00, 4.00,121, 4.00, 12250.00, 48, 2.00, 1.00, 0.00, 2.00, 48, 43, 24, 24, 16,
44, 162.00, 6.00,282, 15.00, 12139.00, 48, 5.00, 2.00, 2.00, 2.00, 48, 43, 24, 24, 16,
30, 160.00, 4.00,196, 10.00, 12178.00, 48, 3.00, 2.00, 1.00, 1.00, 48, 43, 24, 24, 16,
28, 161.00, 4.00,184, 8.00, 12094.00, 48, 3.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
36, 163.00, 4.00,226, 11.00, 12187.00, 48, 3.00, 3.00, 2.00, 1.00, 48, 43, 25, 25, 16,
40, 161.00, 6.00,250, 13.00, 12134.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
34, 163.00, 4.00,222, 11.00, 12158.00, 48, 4.00, 1.00, 2.00, 1.00, 48, 43, 25, 25, 16,
38, 172.00, 5.00,244, 12.00, 12162.00, 48, 5.00, 2.00, 2.00, 2.00, 48, 43, 24, 24, 16,
6, 162.00, 0.00,47, 1.00, 12109.00, 48, 0.00, 1.00, 1.00, 0.00, 48, 43, 41, 41, 16,
8, 160.00, 2.00,59, 2.00, 12118.00, 48, 1.00, 1.00, 0.00, 1.00, 48, 43, 33, 33, 16,
32, 160.00, 4.00,208, 10.00, 12189.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 24, 24, 16,
42, 161.00, 5.00,268, 14.00, 12118.00, 48, 5.00, 2.00, 2.00, 2.00, 48, 43, 23, 23, 16,
