k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 88.00, 5.00,32, 12.00, 1014.00, 93, 5.00, 6.00, 5.00, 7.00, 93, 220, 183, 183, 170,
10, 92.00, 3.00,15, 4.00, 1014.00, 93, 1.00, 6.00, 2.00, 6.00, 93, 220, 190, 190, 170,
26, 87.00, 5.00,34, 12.00, 1015.00, 93, 5.00, 7.00, 6.00, 6.00, 93, 220, 184, 184, 169,
12, 86.00, 5.00,18, 5.00, 1014.00, 93, 2.00, 6.00, 3.00, 6.00, 93, 220, 189, 189, 170,
20, 87.00, 5.00,27, 9.00, 1017.00, 93, 3.00, 6.00, 4.00, 7.00, 93, 220, 184, 184, 169,
14, 86.00, 6.00,19, 6.00, 1009.00, 93, 2.00, 6.00, 2.00, 7.00, 93, 220, 187, 187, 170,
22, 94.00, 6.00,30, 10.00, 1019.00, 93, 3.00, 7.00, 5.00, 7.00, 93, 220, 183, 183, 169,
16, 87.00, 6.00,22, 7.00, 1012.00, 93, 2.00, 6.00, 3.00, 6.00, 93, 220, 185, 185, 170,
46, 87.00, 10.00,59, 27.00, 1022.00, 93, 10.00, 7.00, 10.00, 8.00, 93, 220, 175, 175, 169,
18, 91.00, 5.00,25, 7.00, 1008.00, 93, 3.00, 6.00, 4.00, 7.00, 93, 220, 184, 184, 169,
44, 87.00, 9.00,56, 25.00, 1014.00, 93, 9.00, 7.00, 10.00, 8.00, 93, 220, 177, 177, 169,
30, 86.00, 7.00,39, 15.00, 1033.00, 93, 6.00, 6.00, 6.00, 7.00, 93, 220, 177, 177, 168,
28, 88.00, 6.00,37, 14.00, 1016.00, 93, 5.00, 7.00, 6.00, 7.00, 93, 220, 179, 179, 169,
36, 89.00, 8.00,45, 17.00, 1015.00, 93, 6.00, 8.00, 7.00, 8.00, 93, 220, 180, 180, 170,
40, 91.00, 8.00,50, 20.00, 1011.00, 93, 8.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
34, 91.00, 8.00,45, 17.00, 1015.00, 93, 7.00, 6.00, 7.00, 7.00, 93, 220, 180, 180, 170,
38, 105.00, 8.00,48, 20.00, 1011.00, 93, 7.00, 7.00, 9.00, 7.00, 93, 220, 177, 177, 169,
6, 89.00, 0.00,10, 2.00, 1010.00, 93, 1.00, 5.00, 1.00, 6.00, 93, 220, 216, 216, 170,
8, 104.00, 4.00,12, 3.00, 1009.00, 93, 1.00, 6.00, 1.00, 6.00, 93, 220, 204, 204, 170,
32, 87.00, 7.00,42, 15.00, 1017.00, 93, 6.00, 7.00, 7.00, 7.00, 93, 220, 180, 180, 170,
42, 87.00, 7.00,53, 22.00, 1021.00, 93, 8.00, 7.00, 10.00, 8.00, 93, 220, 177, 177, 169,
