k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,241.0,6500.0,10.0,8.0, 81, 62
10,180.0,6488.0,5.0,5.0, 92, 62
26,252.0,6504.0,11.0,8.0, 77, 62
12,188.0,6505.0,7.0,6.0, 87, 62
20,224.0,6495.0,10.0,8.0, 80, 62
14,197.0,6511.0,7.0,6.0, 85, 62
22,232.0,6522.0,10.0,7.0, 81, 62
16,208.0,6520.0,8.0,7.0, 84, 62
46,341.0,6505.0,18.0,13.0, 75, 62
18,215.0,6528.0,8.0,7.0, 80, 62
44,330.0,6499.0,19.0,13.0, 75, 62
30,269.0,6512.0,13.0,10.0, 75, 62
28,265.0,6511.0,12.0,9.0, 77, 62
36,292.0,6497.0,15.0,11.0, 77, 62
40,310.0,6502.0,16.0,12.0, 76, 62
34,288.0,6499.0,14.0,11.0, 77, 62
38,314.0,6496.0,15.0,12.0, 77, 62
6,167.0,6499.0,4.0,4.0, 114, 62
8,170.0,6488.0,5.0,5.0, 94, 62
32,279.0,6499.0,14.0,11.0, 78, 62
42,323.0,6503.0,16.0,12.0, 75, 62
