k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 173.00, 3.00,160, 11.00, 9349.00, 77, 4.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
10, 175.00, 1.00,75, 4.00, 9443.00, 77, 1.00, 4.00, 1.00, 3.00, 77, 106, 43, 43, 21,
26, 174.00, 3.00,174, 14.00, 9356.00, 77, 3.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
12, 174.00, 1.00,87, 4.00, 9358.00, 77, 1.00, 4.00, 1.00, 3.00, 77, 106, 41, 41, 21,
20, 174.00, 2.00,137, 9.00, 9358.00, 77, 3.00, 5.00, 2.00, 3.00, 77, 106, 37, 37, 21,
14, 173.00, 2.00,101, 5.00, 9387.00, 77, 2.00, 4.00, 1.00, 3.00, 77, 106, 40, 40, 21,
22, 173.00, 3.00,148, 10.00, 9343.00, 77, 3.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
16, 173.00, 2.00,112, 6.00, 9361.00, 77, 1.00, 5.00, 2.00, 3.00, 77, 106, 41, 41, 21,
46, 172.00, 3.00,304, 26.00, 9354.00, 77, 7.00, 9.00, 5.00, 4.00, 77, 106, 36, 36, 21,
18, 175.00, 2.00,124, 8.00, 9358.00, 77, 3.00, 4.00, 1.00, 3.00, 77, 106, 39, 39, 21,
44, 176.00, 4.00,287, 24.00, 9375.00, 77, 7.00, 8.00, 5.00, 4.00, 77, 106, 37, 37, 21,
30, 176.00, 3.00,199, 15.00, 9396.00, 77, 4.00, 6.00, 3.00, 4.00, 77, 106, 36, 36, 21,
28, 174.00, 3.00,186, 13.00, 9361.00, 77, 3.00, 6.00, 3.00, 3.00, 77, 106, 36, 36, 21,
36, 175.00, 3.00,234, 18.00, 9649.00, 77, 6.00, 8.00, 5.00, 3.00, 77, 106, 37, 37, 21,
40, 176.00, 3.00,263, 21.00, 9512.00, 77, 6.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
34, 173.00, 3.00,225, 18.00, 9506.00, 77, 10.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
38, 176.00, 5.00,260, 20.00, 9634.00, 77, 6.00, 7.00, 5.00, 4.00, 77, 106, 37, 37, 21,
6, 174.00, 0.00,49, 2.00, 9424.00, 77, 1.00, 3.00, 0.00, 2.00, 77, 106, 76, 76, 21,
8, 175.00, 1.00,62, 3.00, 9491.00, 77, 1.00, 3.00, 1.00, 3.00, 77, 106, 50, 50, 21,
32, 173.00, 3.00,213, 16.00, 9369.00, 77, 5.00, 7.00, 4.00, 4.00, 77, 106, 37, 37, 21,
42, 173.00, 3.00,274, 23.00, 9375.00, 77, 6.00, 8.00, 4.00, 4.00, 77, 106, 38, 37, 21,
