k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,333.0,12180.0,4.0,2.0, 28, 16
10,237.0,12123.0,2.0,1.0, 32, 16
26,347.0,12129.0,5.0,3.0, 26, 16
12,255.0,12171.0,2.0,2.0, 29, 16
20,321.0,12261.0,4.0,2.0, 28, 16
14,263.0,12158.0,3.0,2.0, 31, 16
22,321.0,12192.0,3.0,2.0, 28, 16
16,279.0,12177.0,3.0,1.0, 29, 16
46,477.0,12166.0,7.0,5.0, 24, 16
18,290.0,12259.0,3.0,2.0, 24, 16
44,484.0,12173.0,8.0,4.0, 24, 16
30,371.0,12176.0,5.0,3.0, 24, 16
28,358.0,12151.0,5.0,3.0, 24, 16
36,403.0,12171.0,6.0,3.0, 25, 16
40,431.0,12126.0,6.0,3.0, 24, 16
34,398.0,12166.0,6.0,3.0, 25, 16
38,424.0,12174.0,6.0,3.0, 24, 16
6,210.0,12111.0,2.0,1.0, 41, 16
8,225.0,12185.0,2.0,2.0, 33, 16
32,384.0,12189.0,5.0,3.0, 24, 16
42,449.0,12185.0,7.0,4.0, 23, 16
