k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,137.0,1030.0,11.0,12.0, 183, 170
10,119.0,1030.0,8.0,8.0, 190, 170
26,152.0,1020.0,12.0,13.0, 184, 169
12,126.0,1019.0,8.0,9.0, 189, 170
20,130.0,1029.0,9.0,11.0, 184, 169
14,120.0,1015.0,8.0,8.0, 187, 170
22,142.0,1027.0,10.0,12.0, 183, 169
16,124.0,1026.0,9.0,9.0, 185, 170
46,184.0,1013.0,17.0,18.0, 175, 169
18,129.0,1020.0,10.0,10.0, 184, 169
44,184.0,1010.0,16.0,17.0, 177, 169
30,162.0,1025.0,12.0,14.0, 177, 168
28,147.0,1021.0,12.0,13.0, 179, 169
36,164.0,1023.0,14.0,15.0, 180, 170
40,170.0,1020.0,14.0,16.0, 177, 169
34,166.0,1025.0,14.0,14.0, 180, 170
38,166.0,1035.0,14.0,16.0, 177, 169
6,119.0,1024.0,6.0,7.0, 216, 170
8,123.0,1016.0,7.0,8.0, 204, 170
32,151.0,1022.0,12.0,14.0, 180, 170
42,180.0,1024.0,16.0,17.0, 177, 169
