k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,242.0,6544.0,11.0,9.0, 81, 62
10,180.0,6615.0,5.0,5.0, 92, 62
26,252.0,6515.0,12.0,9.0, 77, 62
12,188.0,6603.0,6.0,6.0, 87, 62
20,228.0,6595.0,10.0,8.0, 80, 62
14,199.0,6547.0,7.0,6.0, 85, 62
22,235.0,6550.0,10.0,8.0, 81, 62
16,208.0,6681.0,8.0,7.0, 84, 62
46,341.0,6504.0,19.0,13.0, 75, 62
18,217.0,6561.0,9.0,7.0, 80, 62
44,333.0,6496.0,19.0,13.0, 75, 62
30,275.0,6527.0,13.0,9.0, 75, 62
28,261.0,6497.0,12.0,9.0, 77, 62
36,291.0,6521.0,15.0,11.0, 77, 62
40,310.0,6496.0,16.0,11.0, 76, 62
34,288.0,6502.0,14.0,11.0, 77, 62
38,307.0,6518.0,15.0,12.0, 77, 62
6,162.0,6653.0,4.0,5.0, 114, 62
8,175.0,6659.0,5.0,5.0, 94, 62
32,280.0,6506.0,14.0,10.0, 78, 62
42,323.0,6497.0,17.0,12.0, 75, 62
