k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,154.0,1018.0,11.0,13.0, 183, 170
10,114.0,1021.0,8.0,8.0, 190, 170
26,139.0,1025.0,11.0,13.0, 184, 169
12,114.0,1023.0,7.0,8.0, 189, 170
20,134.0,1023.0,9.0,10.0, 184, 169
14,122.0,1025.0,8.0,9.0, 187, 170
22,133.0,1015.0,10.0,11.0, 183, 169
16,121.0,1028.0,9.0,10.0, 185, 170
46,184.0,1017.0,17.0,19.0, 175, 169
18,130.0,1015.0,10.0,10.0, 184, 169
44,181.0,1020.0,16.0,18.0, 177, 169
30,158.0,1021.0,12.0,13.0, 177, 168
28,145.0,1025.0,12.0,13.0, 179, 169
36,165.0,1011.0,13.0,15.0, 180, 170
40,166.0,1021.0,15.0,16.0, 177, 169
34,159.0,1026.0,13.0,15.0, 180, 170
38,163.0,1019.0,14.0,16.0, 177, 169
6,104.0,1017.0,6.0,7.0, 216, 170
8,108.0,1018.0,7.0,7.0, 204, 170
32,156.0,1019.0,13.0,14.0, 180, 170
42,176.0,1020.0,15.0,17.0, 177, 169
