k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,371.0,9879.0,11.0,6.0, 37, 21
10,250.0,9452.0,4.0,4.0, 43, 21
26,408.0,9864.0,9.0,7.0, 37, 21
12,308.0,9376.0,5.0,4.0, 41, 21
20,330.0,9378.0,7.0,5.0, 37, 21
14,282.0,9528.0,5.0,4.0, 40, 21
22,344.0,9985.0,8.0,5.0, 37, 21
16,292.0,9283.0,6.0,4.0, 41, 21
46,511.0,9606.0,17.0,9.0, 36, 21
18,309.0,9446.0,6.0,5.0, 39, 21
44,496.0,9625.0,16.0,10.0, 37, 21
30,441.0,9909.0,13.0,7.0, 36, 21
28,397.0,10025.0,11.0,7.0, 36, 21
36,437.0,9732.0,13.0,8.0, 37, 21
40,462.0,9613.0,15.0,9.0, 37, 21
34,438.0,10145.0,13.0,8.0, 37, 21
38,449.0,9614.0,13.0,8.0, 37, 21
6,227.0,9325.0,3.0,3.0, 76, 21
8,243.0,9587.0,4.0,3.0, 50, 21
32,431.0,9965.0,12.0,6.0, 37, 21
42,486.0,9599.0,14.0,9.0, 38, 21
