k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,330.0,12118.0,4.0,2.0, 28, 16
10,238.0,12135.0,2.0,1.0, 32, 16
26,344.0,12102.0,4.0,2.0, 26, 16
12,264.0,12138.0,2.0,1.0, 29, 16
20,303.0,12165.0,3.0,2.0, 28, 16
14,263.0,12120.0,3.0,1.0, 31, 16
22,319.0,12178.0,4.0,2.0, 28, 16
16,280.0,12151.0,2.0,1.0, 29, 16
46,485.0,12071.0,7.0,4.0, 24, 16
18,293.0,12185.0,3.0,2.0, 24, 16
44,476.0,12086.0,7.0,4.0, 24, 16
30,369.0,12134.0,4.0,2.0, 24, 16
28,356.0,12096.0,4.0,2.0, 24, 16
36,417.0,12169.0,5.0,3.0, 25, 16
40,427.0,12129.0,6.0,4.0, 24, 16
34,397.0,12133.0,6.0,3.0, 25, 16
38,423.0,12081.0,6.0,3.0, 24, 16
6,212.0,12112.0,1.0,0.0, 41, 16
8,224.0,12122.0,2.0,1.0, 33, 16
32,385.0,12134.0,5.0,3.0, 24, 16
42,447.0,12110.0,6.0,3.0, 23, 16
