k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,350.0,9384.0,10.0,6.0, 37, 21
10,251.0,9348.0,4.0,3.0, 43, 21
26,365.0,9356.0,9.0,6.0, 37, 21
12,267.0,9450.0,5.0,4.0, 41, 21
20,322.0,9374.0,8.0,5.0, 37, 21
14,280.0,9381.0,6.0,4.0, 40, 21
22,337.0,9366.0,8.0,6.0, 37, 21
16,292.0,9348.0,6.0,5.0, 41, 21
46,516.0,9596.0,16.0,8.0, 36, 21
18,310.0,9346.0,7.0,5.0, 39, 21
44,513.0,9581.0,15.0,9.0, 37, 21
30,409.0,9332.0,10.0,7.0, 36, 21
28,377.0,9344.0,10.0,6.0, 36, 21
36,426.0,9381.0,12.0,8.0, 37, 21
40,460.0,9705.0,14.0,8.0, 37, 21
34,419.0,9366.0,13.0,7.0, 37, 21
38,449.0,9580.0,13.0,8.0, 37, 21
6,224.0,9382.0,3.0,3.0, 76, 21
8,240.0,9360.0,4.0,4.0, 50, 21
32,407.0,9349.0,12.0,7.0, 37, 21
42,480.0,9585.0,14.0,9.0, 38, 21
