k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 160.00, 5.00,158, 7.00, 12102.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
10, 160.00, 2.00,71, 3.00, 12071.00, 48, 1.00, 1.00, 0.00, 1.00, 48, 43, 32, 32, 16,
26, 160.00, 5.00,172, 7.00, 12198.00, 48, 3.00, 1.00, 1.00, 1.00, 48, 43, 26, 26, 16,
12, 160.00, 3.00,84, 3.00, 12060.00, 48, 1.00, 2.00, 0.00, 1.00, 48, 43, 29, 29, 16,
20, 160.00, 3.00,134, 5.00, 12107.00, 48, 2.00, 1.00, 1.00, 1.00, 48, 43, 28, 28, 16,
14, 163.00, 2.00,97, 3.00, 12118.00, 48, 1.00, 1.00, 1.00, 1.00, 48, 43, 31, 31, 16,
22, 163.00, 4.00,145, 7.00, 12180.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
16, 162.00, 2.00,108, 4.00, 12124.00, 48, 1.00, 2.00, 1.00, 1.00, 48, 43, 29, 29, 16,
46, 162.00, 5.00,295, 15.00, 12167.00, 48, 5.00, 2.00, 2.00, 2.00, 48, 43, 24, 24, 16,
18, 163.00, 4.00,121, 4.00, 12109.00, 48, 2.00, 1.00, 1.00, 1.00, 48, 43, 24, 24, 16,
44, 160.00, 5.00,282, 14.00, 12105.00, 48, 5.00, 3.00, 2.00, 2.00, 48, 43, 24, 24, 16,
30, 162.00, 3.00,211, 9.00, 12216.00, 48, 3.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
28, 161.00, 4.00,182, 9.00, 12288.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 24, 24, 16,
36, 161.00, 5.00,225, 12.00, 12215.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 25, 25, 16,
40, 161.00, 5.00,252, 12.00, 12137.00, 48, 4.00, 2.00, 2.00, 2.00, 48, 43, 24, 24, 16,
34, 161.00, 4.00,220, 11.00, 12157.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 25, 25, 16,
38, 161.00, 5.00,245, 12.00, 12233.00, 48, 4.00, 2.00, 1.00, 2.00, 48, 43, 24, 24, 16,
6, 170.00, 0.00,50, 1.00, 12133.00, 48, 0.00, 1.00, 0.00, 1.00, 48, 43, 41, 41, 16,
8, 162.00, 2.00,59, 2.00, 12099.00, 48, 1.00, 1.00, 0.00, 1.00, 48, 43, 33, 33, 16,
32, 162.00, 3.00,209, 10.00, 12109.00, 48, 4.00, 1.00, 1.00, 2.00, 48, 43, 24, 24, 16,
42, 162.00, 5.00,270, 14.00, 12152.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 23, 23, 16,
