k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,351.0,9469.0,10.0,6.0, 37, 21
10,257.0,9459.0,5.0,3.0, 43, 21
26,364.0,9372.0,10.0,6.0, 37, 21
12,271.0,9530.0,5.0,3.0, 41, 21
20,321.0,9495.0,8.0,5.0, 37, 21
14,297.0,9445.0,5.0,4.0, 40, 21
22,336.0,9465.0,8.0,6.0, 37, 21
16,304.0,9480.0,7.0,4.0, 41, 21
46,501.0,9366.0,17.0,9.0, 36, 21
18,311.0,9480.0,7.0,5.0, 39, 21
44,487.0,9382.0,15.0,9.0, 37, 21
30,391.0,9381.0,10.0,7.0, 36, 21
28,378.0,9360.0,10.0,6.0, 36, 21
36,426.0,9363.0,12.0,7.0, 37, 21
40,451.0,9384.0,13.0,8.0, 37, 21
34,424.0,9380.0,12.0,7.0, 37, 21
38,448.0,9360.0,13.0,8.0, 37, 21
6,228.0,9448.0,4.0,3.0, 76, 21
8,241.0,9396.0,4.0,4.0, 50, 21
32,405.0,9358.0,12.0,7.0, 37, 21
42,475.0,9386.0,14.0,8.0, 38, 21
