k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 141.00, 4.00,102, 11.00, 6649.00, 88, 4.00, 7.00, 4.00, 4.00, 88, 168, 81, 81, 62,
10, 134.00, 2.00,48, 3.00, 6635.00, 88, 1.00, 5.00, 1.00, 4.00, 88, 168, 92, 92, 62,
26, 129.00, 5.00,109, 13.00, 6663.00, 88, 5.00, 7.00, 4.00, 4.00, 88, 168, 77, 77, 62,
12, 127.00, 3.00,54, 5.00, 6625.00, 88, 1.00, 5.00, 1.00, 4.00, 88, 168, 87, 87, 62,
20, 133.00, 4.00,87, 9.00, 6638.00, 88, 2.00, 7.00, 3.00, 4.00, 88, 168, 80, 80, 62,
14, 127.00, 3.00,64, 6.00, 6633.00, 88, 2.00, 5.00, 2.00, 4.00, 88, 168, 85, 85, 62,
22, 129.00, 4.00,93, 10.00, 6651.00, 88, 3.00, 7.00, 3.00, 5.00, 88, 168, 81, 81, 62,
16, 129.00, 4.00,70, 6.00, 6648.00, 88, 2.00, 5.00, 2.00, 4.00, 88, 168, 84, 84, 62,
46, 129.00, 6.00,185, 26.00, 6653.00, 88, 8.00, 10.00, 8.00, 5.00, 88, 168, 75, 75, 62,
18, 128.00, 3.00,79, 7.00, 6637.00, 88, 2.00, 7.00, 3.00, 4.00, 88, 168, 80, 80, 62,
44, 128.00, 5.00,179, 23.00, 6629.00, 88, 8.00, 12.00, 7.00, 6.00, 88, 168, 75, 75, 62,
30, 128.00, 5.00,124, 15.00, 6635.00, 88, 5.00, 9.00, 5.00, 4.00, 88, 168, 75, 75, 62,
28, 134.00, 6.00,115, 14.00, 6634.00, 88, 5.00, 7.00, 4.00, 5.00, 88, 168, 77, 77, 62,
36, 134.00, 6.00,143, 18.00, 6643.00, 88, 6.00, 9.00, 6.00, 5.00, 88, 168, 77, 77, 62,
40, 128.00, 6.00,158, 19.00, 6655.00, 88, 7.00, 10.00, 7.00, 5.00, 88, 168, 76, 76, 62,
34, 128.00, 5.00,141, 18.00, 6650.00, 88, 5.00, 9.00, 6.00, 5.00, 88, 168, 77, 77, 62,
38, 127.00, 6.00,155, 20.00, 6649.00, 88, 7.00, 9.00, 7.00, 5.00, 88, 168, 77, 77, 62,
6, 130.00, 0.00,32, 1.00, 6679.00, 88, 0.00, 4.00, 1.00, 3.00, 88, 168, 114, 114, 62,
8, 127.00, 2.00,39, 3.00, 6637.00, 88, 1.00, 4.00, 1.00, 4.00, 88, 168, 94, 94, 62,
32, 128.00, 5.00,132, 15.00, 6633.00, 88, 5.00, 10.00, 5.00, 5.00, 88, 168, 78, 78, 62,
42, 134.00, 5.00,170, 22.00, 6637.00, 88, 8.00, 9.00, 8.00, 5.00, 88, 168, 75, 75, 62,
