k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 101.00, 5.00,33, 12.00, 1019.00, 93, 4.00, 7.00, 5.00, 6.00, 93, 220, 183, 183, 170,
10, 87.00, 3.00,15, 4.00, 1014.00, 93, 1.00, 6.00, 2.00, 6.00, 93, 220, 190, 190, 170,
26, 108.00, 5.00,35, 12.00, 1021.00, 93, 5.00, 7.00, 5.00, 7.00, 93, 220, 184, 184, 169,
12, 103.00, 6.00,18, 5.00, 1014.00, 93, 2.00, 6.00, 2.00, 6.00, 93, 220, 189, 189, 170,
20, 89.00, 5.00,28, 9.00, 1013.00, 93, 4.00, 6.00, 4.00, 7.00, 93, 220, 184, 184, 169,
14, 100.00, 5.00,20, 6.00, 1013.00, 93, 2.00, 6.00, 3.00, 6.00, 93, 220, 187, 187, 170,
22, 91.00, 6.00,30, 10.00, 1023.00, 93, 4.00, 7.00, 5.00, 7.00, 93, 220, 183, 183, 169,
16, 95.00, 6.00,22, 6.00, 1010.00, 93, 3.00, 6.00, 4.00, 6.00, 93, 220, 185, 185, 170,
46, 88.00, 9.00,58, 27.00, 1017.00, 93, 10.00, 7.00, 11.00, 8.00, 93, 220, 175, 175, 169,
18, 86.00, 6.00,24, 8.00, 1010.00, 93, 3.00, 6.00, 4.00, 7.00, 93, 220, 184, 184, 169,
44, 89.00, 9.00,55, 23.00, 1017.00, 93, 9.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
30, 88.00, 7.00,40, 15.00, 1041.00, 93, 6.00, 6.00, 6.00, 7.00, 93, 220, 177, 177, 168,
28, 88.00, 7.00,36, 15.00, 1021.00, 93, 5.00, 6.00, 6.00, 7.00, 93, 220, 179, 179, 169,
36, 93.00, 7.00,45, 18.00, 1018.00, 93, 6.00, 8.00, 8.00, 7.00, 93, 220, 180, 180, 170,
40, 90.00, 8.00,51, 21.00, 1018.00, 93, 7.00, 7.00, 8.00, 8.00, 93, 220, 177, 177, 169,
34, 105.00, 7.00,44, 17.00, 1021.00, 93, 7.00, 6.00, 7.00, 7.00, 93, 220, 180, 180, 170,
38, 87.00, 8.00,49, 20.00, 1018.00, 93, 8.00, 6.00, 8.00, 7.00, 93, 220, 177, 177, 169,
6, 95.00, 0.00,10, 2.00, 1025.00, 93, 1.00, 6.00, 1.00, 5.00, 93, 220, 216, 216, 170,
8, 92.00, 3.00,13, 2.00, 1020.00, 93, 1.00, 6.00, 1.00, 6.00, 93, 220, 204, 204, 170,
32, 86.00, 7.00,42, 16.00, 1033.00, 93, 6.00, 7.00, 7.00, 7.00, 93, 220, 180, 180, 170,
42, 102.00, 7.00,54, 23.00, 1018.00, 93, 8.00, 7.00, 9.00, 8.00, 93, 220, 177, 177, 169,
