k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,331.0,12102.0,4.0,3.0, 28, 16
10,237.0,12158.0,2.0,1.0, 32, 16
26,344.0,12149.0,4.0,2.0, 26, 16
12,250.0,12096.0,2.0,1.0, 29, 16
20,305.0,12137.0,4.0,2.0, 28, 16
14,262.0,12115.0,2.0,1.0, 31, 16
22,317.0,12171.0,3.0,2.0, 28, 16
16,275.0,12144.0,2.0,2.0, 29, 16
46,478.0,12145.0,7.0,4.0, 24, 16
18,292.0,12250.0,3.0,2.0, 24, 16
44,465.0,12139.0,7.0,4.0, 24, 16
30,370.0,12178.0,5.0,2.0, 24, 16
28,357.0,12094.0,5.0,3.0, 24, 16
36,404.0,12187.0,6.0,3.0, 25, 16
40,430.0,12134.0,6.0,3.0, 24, 16
34,400.0,12158.0,5.0,3.0, 25, 16
38,433.0,12162.0,7.0,4.0, 24, 16
6,210.0,12109.0,1.0,1.0, 41, 16
8,223.0,12118.0,2.0,1.0, 33, 16
32,382.0,12189.0,5.0,3.0, 24, 16
42,448.0,12118.0,7.0,4.0, 23, 16
