k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,241.0,6506.0,11.0,8.0, 81, 62
10,178.0,6502.0,6.0,5.0, 92, 62
26,252.0,6533.0,11.0,8.0, 77, 62
12,190.0,6534.0,7.0,5.0, 87, 62
20,226.0,6507.0,9.0,8.0, 80, 62
14,199.0,6508.0,7.0,6.0, 85, 62
22,235.0,6493.0,10.0,7.0, 81, 62
16,206.0,6523.0,7.0,6.0, 84, 62
46,346.0,6506.0,18.0,14.0, 75, 62
18,216.0,6522.0,9.0,7.0, 80, 62
44,332.0,6557.0,19.0,13.0, 75, 62
30,269.0,6510.0,14.0,10.0, 75, 62
28,261.0,6502.0,12.0,9.0, 77, 62
36,292.0,6502.0,14.0,11.0, 77, 62
40,312.0,6507.0,17.0,12.0, 76, 62
34,286.0,6507.0,14.0,10.0, 77, 62
38,304.0,6507.0,15.0,11.0, 77, 62
6,160.0,6501.0,4.0,4.0, 114, 62
8,170.0,6496.0,5.0,5.0, 94, 62
32,278.0,6523.0,14.0,10.0, 78, 62
42,322.0,6511.0,16.0,13.0, 75, 62
