k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 127.00, 5.00,99, 10.00, 6506.00, 88, 4.00, 7.00, 3.00, 5.00, 88, 168, 81, 81, 62,
10, 126.00, 1.00,48, 3.00, 6502.00, 88, 1.00, 5.00, 2.00, 3.00, 88, 168, 92, 92, 62,
26, 129.00, 4.00,107, 12.00, 6533.00, 88, 4.00, 7.00, 4.00, 4.00, 88, 168, 77, 77, 62,
12, 128.00, 3.00,55, 4.00, 6534.00, 88, 1.00, 6.00, 2.00, 3.00, 88, 168, 87, 87, 62,
20, 128.00, 5.00,84, 9.00, 6507.00, 88, 2.00, 7.00, 4.00, 4.00, 88, 168, 80, 80, 62,
14, 128.00, 3.00,63, 5.00, 6508.00, 88, 2.00, 5.00, 2.00, 4.00, 88, 168, 85, 85, 62,
22, 128.00, 5.00,92, 10.00, 6493.00, 88, 3.00, 7.00, 3.00, 4.00, 88, 168, 81, 81, 62,
16, 127.00, 3.00,70, 6.00, 6523.00, 88, 2.00, 5.00, 2.00, 4.00, 88, 168, 84, 84, 62,
46, 131.00, 6.00,184, 25.00, 6506.00, 88, 8.00, 10.00, 8.00, 6.00, 88, 168, 75, 75, 62,
18, 128.00, 3.00,78, 7.00, 6522.00, 88, 2.00, 7.00, 3.00, 4.00, 88, 168, 80, 80, 62,
44, 128.00, 5.00,176, 23.00, 6557.00, 88, 8.00, 11.00, 7.00, 6.00, 88, 168, 75, 75, 62,
30, 127.00, 5.00,123, 14.00, 6510.00, 88, 5.00, 9.00, 5.00, 5.00, 88, 168, 75, 75, 62,
28, 126.00, 6.00,115, 14.00, 6502.00, 88, 5.00, 7.00, 5.00, 4.00, 88, 168, 77, 77, 62,
36, 127.00, 5.00,143, 17.00, 6502.00, 88, 6.00, 8.00, 6.00, 5.00, 88, 168, 77, 77, 62,
40, 128.00, 5.00,159, 20.00, 6507.00, 88, 7.00, 10.00, 7.00, 5.00, 88, 168, 76, 76, 62,
34, 128.00, 5.00,137, 16.00, 6507.00, 88, 6.00, 8.00, 5.00, 5.00, 88, 168, 77, 77, 62,
38, 126.00, 6.00,153, 19.00, 6507.00, 88, 6.00, 9.00, 6.00, 5.00, 88, 168, 77, 77, 62,
6, 127.00, 0.00,32, 1.00, 6501.00, 88, 0.00, 4.00, 1.00, 3.00, 88, 168, 114, 114, 62,
8, 127.00, 2.00,39, 2.00, 6496.00, 88, 1.00, 4.00, 1.00, 4.00, 88, 168, 94, 94, 62,
32, 126.00, 5.00,132, 15.00, 6523.00, 88, 5.00, 9.00, 5.00, 5.00, 88, 168, 78, 78, 62,
42, 128.00, 4.00,169, 21.00, 6511.00, 88, 7.00, 9.00, 8.00, 5.00, 88, 168, 75, 75, 62,
