k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,138.0,1031.0,11.0,12.0, 183, 170
10,111.0,1023.0,7.0,9.0, 190, 170
26,147.0,1033.0,11.0,13.0, 184, 169
12,115.0,1027.0,7.0,9.0, 189, 170
20,137.0,1027.0,10.0,11.0, 184, 169
14,118.0,1051.0,8.0,9.0, 187, 170
22,146.0,1019.0,11.0,12.0, 183, 169
16,127.0,1024.0,8.0,9.0, 185, 170
46,181.0,1021.0,16.0,18.0, 175, 169
18,126.0,1027.0,9.0,10.0, 184, 169
44,178.0,1021.0,16.0,18.0, 177, 169
30,149.0,1038.0,13.0,14.0, 177, 168
28,152.0,1027.0,13.0,13.0, 179, 169
36,162.0,1015.0,13.0,15.0, 180, 170
40,167.0,1019.0,15.0,17.0, 177, 169
34,154.0,1021.0,13.0,15.0, 180, 170
38,185.0,1014.0,15.0,16.0, 177, 169
6,100.0,1023.0,6.0,7.0, 216, 170
8,122.0,1025.0,6.0,8.0, 204, 170
32,158.0,1017.0,12.0,14.0, 180, 170
42,172.0,1022.0,15.0,17.0, 177, 169
