k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,151.0,1019.0,11.0,11.0, 183, 170
10,109.0,1014.0,7.0,8.0, 190, 170
26,160.0,1021.0,12.0,12.0, 184, 169
12,132.0,1014.0,8.0,8.0, 189, 170
20,131.0,1013.0,10.0,11.0, 184, 169
14,131.0,1013.0,8.0,9.0, 187, 170
22,137.0,1023.0,11.0,12.0, 183, 169
16,129.0,1010.0,9.0,10.0, 185, 170
46,182.0,1017.0,17.0,19.0, 175, 169
18,124.0,1010.0,9.0,11.0, 184, 169
44,176.0,1017.0,16.0,17.0, 177, 169
30,150.0,1041.0,12.0,13.0, 177, 168
28,146.0,1021.0,11.0,13.0, 179, 169
36,163.0,1018.0,14.0,15.0, 180, 170
40,170.0,1018.0,14.0,16.0, 177, 169
34,173.0,1021.0,13.0,14.0, 180, 170
38,164.0,1018.0,14.0,15.0, 177, 169
6,107.0,1025.0,7.0,6.0, 216, 170
8,110.0,1020.0,7.0,7.0, 204, 170
32,151.0,1033.0,13.0,14.0, 180, 170
42,186.0,1018.0,15.0,17.0, 177, 169
