k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 127.00, 4.00,100, 11.00, 6544.00, 88, 4.00, 7.00, 4.00, 5.00, 88, 168, 81, 81, 62,
10, 127.00, 2.00,47, 4.00, 6615.00, 88, 1.00, 4.00, 2.00, 3.00, 88, 168, 92, 92, 62,
26, 127.00, 4.00,108, 13.00, 6515.00, 88, 5.00, 7.00, 4.00, 5.00, 88, 168, 77, 77, 62,
12, 127.00, 2.00,54, 5.00, 6603.00, 88, 1.00, 5.00, 2.00, 4.00, 88, 168, 87, 87, 62,
20, 129.00, 4.00,86, 9.00, 6595.00, 88, 3.00, 7.00, 4.00, 4.00, 88, 168, 80, 80, 62,
14, 127.00, 3.00,63, 6.00, 6547.00, 88, 1.00, 6.00, 2.00, 4.00, 88, 168, 85, 85, 62,
22, 128.00, 4.00,93, 10.00, 6550.00, 88, 4.00, 6.00, 4.00, 4.00, 88, 168, 81, 81, 62,
16, 127.00, 4.00,71, 6.00, 6681.00, 88, 2.00, 6.00, 3.00, 4.00, 88, 168, 84, 84, 62,
46, 126.00, 6.00,184, 25.00, 6504.00, 88, 9.00, 10.00, 7.00, 6.00, 88, 168, 75, 75, 62,
18, 130.00, 3.00,76, 8.00, 6561.00, 88, 3.00, 6.00, 3.00, 4.00, 88, 168, 80, 80, 62,
44, 128.00, 5.00,178, 22.00, 6496.00, 88, 8.00, 11.00, 8.00, 5.00, 88, 168, 75, 75, 62,
30, 133.00, 5.00,123, 14.00, 6527.00, 88, 5.00, 8.00, 5.00, 4.00, 88, 168, 75, 75, 62,
28, 126.00, 6.00,115, 14.00, 6497.00, 88, 5.00, 7.00, 5.00, 4.00, 88, 168, 77, 77, 62,
36, 127.00, 5.00,141, 18.00, 6521.00, 88, 6.00, 9.00, 6.00, 5.00, 88, 168, 77, 77, 62,
40, 127.00, 6.00,157, 20.00, 6496.00, 88, 6.00, 10.00, 6.00, 5.00, 88, 168, 76, 76, 62,
34, 128.00, 5.00,138, 17.00, 6502.00, 88, 6.00, 8.00, 6.00, 5.00, 88, 168, 77, 77, 62,
38, 128.00, 5.00,154, 20.00, 6518.00, 88, 6.00, 9.00, 7.00, 5.00, 88, 168, 77, 77, 62,
6, 128.00, 1.00,31, 2.00, 6653.00, 88, 0.00, 4.00, 1.00, 4.00, 88, 168, 114, 114, 62,
8, 131.00, 2.00,40, 2.00, 6659.00, 88, 1.00, 4.00, 1.00, 4.00, 88, 168, 94, 94, 62,
32, 129.00, 5.00,130, 16.00, 6506.00, 88, 5.00, 9.00, 5.00, 5.00, 88, 168, 78, 78, 62,
42, 128.00, 4.00,169, 22.00, 6497.00, 88, 8.00, 9.00, 7.00, 5.00, 88, 168, 75, 75, 62,
